epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6462,1.90009,3.71578,1.90824,0.00592,0.52424,0.07627,0.0495,1.55347,3.5533,1.73126,4.287e-05,4.287e-05,4.287e-05
2,78.5485,1.50597,3.34589,1.55471,0.0071,0.62424,0.31985,0.22179,1.50202,3.46428,1.51936,9.90397e-05,9.90397e-05,9.90397e-05
3,111.255,1.45104,2.92163,1.39994,0.00792,0.73182,0.31416,0.2019,1.57944,3.30919,1.47199,0.000154078,0.000154078,0.000154078
4,143.561,1.32077,2.13315,1.31984,1,0.13954,0.34397,0.2294,1.51842,3.08227,1.45291,0.000207984,0.000207984,0.000207984
5,175.889,1.32266,1.6834,1.32488,0.97154,0.19871,0.38431,0.24806,1.46619,2.97599,1.41256,0.000260758,0.000260758,0.000260758
6,209.249,1.26407,1.54686,1.25353,1,0.1025,0.41539,0.27315,1.40073,3.01162,1.35933,0.000312401,0.000312401,0.000312401
7,241.27,1.29296,1.43827,1.29065,0.00913,0.81515,0.4149,0.274,1.36112,3.10257,1.34133,0.000362912,0.000362912,0.000362912
8,284.021,1.25056,1.25418,1.22728,1,0.1196,0.43005,0.27508,1.32805,3.02414,1.31533,0.000412291,0.000412291,0.000412291
9,320.842,1.1927,1.1843,1.20176,0.96171,0.28564,0.52481,0.34779,1.33774,2.71519,1.31518,0.000460538,0.000460538,0.000460538
10,360.652,1.2605,1.15054,1.2288,0.9679,0.31481,0.60148,0.36981,1.39052,2.59433,1.3533,0.000507654,0.000507654,0.000507654
11,399.096,1.24592,1.15005,1.24395,0.9925,0.31481,0.82235,0.49341,1.40762,2.54263,1.37258,0.000553637,0.000553637,0.000553637
12,452.658,1.22268,1.04437,1.19634,0.94421,0.33333,0.89205,0.52179,1.37486,2.40917,1.38042,0.000598489,0.000598489,0.000598489
13,544.093,1.20377,1.11424,1.20026,0.95359,0.33333,0.85786,0.49254,1.5154,2.41078,1.48053,0.00064221,0.00064221,0.00064221
14,588.751,1.1472,1.04218,1.1952,0.92621,0.33333,0.85279,0.50479,1.51683,2.48295,1.49817,0.000684798,0.000684798,0.000684798
15,646.809,1.17859,1.00699,1.1869,0.93237,0.36944,0.88272,0.50947,1.50592,2.30318,1.51596,0.000726255,0.000726255,0.000726255
16,685.745,1.13047,1.01416,1.20876,0.91511,0.56412,0.89751,0.52501,1.49186,2.13288,1.50347,0.00076658,0.00076658,0.00076658
17,725.115,1.11119,0.9392,1.15913,0.90158,0.62243,0.90385,0.54063,1.46063,2.09104,1.47734,0.000805773,0.000805773,0.000805773
18,791.449,1.10677,0.97933,1.15136,0.8331,0.48249,0.8007,0.47941,1.43974,2.15828,1.44791,0.000843835,0.000843835,0.000843835
19,834.466,1.15319,0.95589,1.19048,0.7528,0.4755,0.77132,0.46799,1.45536,2.12803,1.4705,0.000880764,0.000880764,0.000880764
20,876.119,1.15985,0.99045,1.19379,0.83168,0.50128,0.81638,0.4905,1.41287,2.07934,1.45689,0.000916562,0.000916562,0.000916562
21,913.38,1.1295,0.94449,1.17336,0.79506,0.60554,0.79809,0.47767,1.46172,1.97591,1.45225,0.000951228,0.000951228,0.000951228
22,951.169,1.1203,0.95164,1.17041,0.84298,0.68143,0.79209,0.49281,1.39308,1.83827,1.3666,0.000984762,0.000984762,0.000984762
23,1016.77,1.08493,0.90063,1.15861,0.81394,0.64044,0.75296,0.49188,1.33509,1.9267,1.32846,0.00101717,0.00101717,0.00101717
24,1059.99,1.155,0.94091,1.226,0.87375,0.63488,0.74663,0.47765,1.33308,2.02001,1.34555,0.00104844,0.00104844,0.00104844
25,1094.7,1.13865,0.93681,1.18927,0.90722,0.57892,0.73582,0.45757,1.47747,1.93524,1.46017,0.00107857,0.00107857,0.00107857
26,1128.3,1.12588,0.93057,1.19136,0.92658,0.59792,0.75307,0.44774,1.5125,1.90294,1.48057,0.00107532,0.00107532,0.00107532
27,1161.04,1.05981,0.87403,1.16505,0.78262,0.75238,0.8153,0.49438,1.442,1.66313,1.44026,0.00106118,0.00106118,0.00106118
28,1201.26,1.09458,0.8876,1.17078,0.85298,0.82395,0.86504,0.53791,1.35922,1.39863,1.38948,0.00104703,0.00104703,0.00104703
29,1236.99,1.13032,0.89322,1.18064,0.82703,0.90423,0.88381,0.55635,1.32281,1.27668,1.39253,0.00103288,0.00103288,0.00103288
30,1281.94,1.07776,0.87838,1.14087,0.85497,0.90261,0.87151,0.56393,1.3333,1.2201,1.38877,0.00101873,0.00101873,0.00101873
31,1318.68,1.08522,0.8733,1.14,0.86339,0.91834,0.87151,0.57112,1.30015,1.17556,1.37283,0.00100459,0.00100459,0.00100459
32,1358.28,1.03149,0.86307,1.11713,0.87029,0.93148,0.85904,0.54746,1.35715,1.10984,1.38348,0.00099044,0.00099044,0.00099044
33,1396.79,1.09014,0.89332,1.15389,0.86575,0.93148,0.89487,0.56854,1.37359,1.04001,1.40695,0.000976293,0.000976293,0.000976293
34,1452.35,1.06194,0.81632,1.11514,0.86315,0.92989,0.90289,0.58104,1.31862,1.04835,1.39696,0.000962146,0.000962146,0.000962146
35,1493.4,1.03205,0.76334,1.11341,0.94178,0.80557,0.89449,0.5794,1.33195,1.05175,1.38339,0.000947999,0.000947999,0.000947999
36,1531.74,1.04141,0.83169,1.14148,0.93149,0.80982,0.86599,0.55405,1.33845,1.12563,1.36781,0.000933851,0.000933851,0.000933851
37,1567.55,0.99036,0.76038,1.11815,0.93511,0.7473,0.87823,0.54856,1.30986,1.2581,1.35303,0.000919704,0.000919704,0.000919704
38,1605.23,1.03149,0.77647,1.12539,0.93016,0.71395,0.88732,0.53232,1.32667,1.27235,1.36859,0.000905557,0.000905557,0.000905557
39,1644,0.99072,0.8103,1.1275,0.90527,0.79748,0.90898,0.52966,1.38694,1.26343,1.4282,0.00089141,0.00089141,0.00089141
40,1682.14,1.02685,0.80422,1.12453,0.91111,0.82906,0.90937,0.54622,1.3829,1.193,1.41905,0.000877263,0.000877263,0.000877263
41,1726.42,1.02005,0.81647,1.13403,0.96644,0.84057,0.90864,0.56027,1.37192,1.09541,1.40375,0.000863116,0.000863116,0.000863116
42,1774.38,0.99161,0.74861,1.07807,0.9864,0.84057,0.91662,0.55631,1.36815,1.00208,1.41001,0.000848969,0.000848969,0.000848969
43,1811.03,0.99386,0.76326,1.1142,0.98701,0.86836,0.92686,0.55606,1.37385,0.97659,1.42896,0.000834822,0.000834822,0.000834822
44,1847.54,0.99175,0.75815,1.10943,0.98489,0.87088,0.93167,0.58066,1.33602,0.96405,1.40784,0.000820675,0.000820675,0.000820675
45,1892.31,0.95444,0.73965,1.1043,0.97439,0.88754,0.92828,0.58482,1.29804,0.97368,1.36663,0.000806528,0.000806528,0.000806528
46,1929.36,0.95663,0.73419,1.08556,0.95639,0.85786,0.92729,0.57967,1.30752,0.99811,1.36728,0.00079238,0.00079238,0.00079238
47,1964.63,0.99629,0.81636,1.1537,0.86272,0.92052,0.92864,0.563,1.3227,1.0169,1.38715,0.000778233,0.000778233,0.000778233
48,2021.46,0.96301,0.74208,1.08899,0.86943,0.92409,0.92743,0.54932,1.36528,0.96832,1.42186,0.000764086,0.000764086,0.000764086
49,2096.93,0.94053,0.72263,1.07024,0.87418,0.89242,0.9254,0.54209,1.35583,0.92991,1.40124,0.000749939,0.000749939,0.000749939
50,2165.21,0.97661,0.74355,1.11945,0.91995,0.87001,0.93552,0.56554,1.31318,0.90867,1.37042,0.000735792,0.000735792,0.000735792
51,2211.19,0.96018,0.73763,1.08427,0.92769,0.85724,0.92991,0.59249,1.28807,0.91057,1.34741,0.000721645,0.000721645,0.000721645
52,2303.73,0.93588,0.69622,1.09328,0.90253,0.85357,0.91654,0.58059,1.29118,0.92743,1.35189,0.000707498,0.000707498,0.000707498
53,2361.51,0.93086,0.69777,1.06626,0.86847,0.88754,0.90806,0.55506,1.32455,0.94265,1.38132,0.000693351,0.000693351,0.000693351
54,2410.03,0.93937,0.71849,1.08879,0.86925,0.8855,0.90093,0.54577,1.3368,0.98949,1.39477,0.000679204,0.000679204,0.000679204
55,2524.21,0.96627,0.69952,1.10516,0.85804,0.88754,0.8912,0.53719,1.31051,1.00253,1.39167,0.000665057,0.000665057,0.000665057
56,2656.65,0.93616,0.66763,1.07076,0.84557,0.87945,0.88867,0.53477,1.31875,0.99632,1.40471,0.000650909,0.000650909,0.000650909
57,2814.26,0.91263,0.69268,1.06308,0.84743,0.90125,0.88213,0.53194,1.35011,1.00029,1.42421,0.000636762,0.000636762,0.000636762
58,2853.56,0.92052,0.68782,1.06922,0.84859,0.91785,0.88697,0.53295,1.38071,0.98087,1.43538,0.000622615,0.000622615,0.000622615
59,2885.56,0.92374,0.68191,1.10241,0.83738,0.91785,0.89833,0.54524,1.37667,0.96057,1.41913,0.000608468,0.000608468,0.000608468
60,2917.62,0.927,0.6576,1.05283,0.84676,0.91785,0.90137,0.53773,1.36747,0.95582,1.41461,0.000594321,0.000594321,0.000594321
61,2960.58,0.90341,0.6579,1.0915,0.84512,0.9369,0.90769,0.54956,1.37091,0.93965,1.41191,0.000580174,0.000580174,0.000580174
62,2996.55,0.9461,0.69259,1.07031,0.85609,0.94671,0.90661,0.55472,1.36985,0.92197,1.40875,0.000566027,0.000566027,0.000566027
63,3047.59,0.86009,0.6309,1.04305,0.85376,0.94815,0.90978,0.565,1.3602,0.92022,1.40702,0.00055188,0.00055188,0.00055188
64,3100.59,0.90346,0.65921,1.08266,0.84126,0.94815,0.91355,0.56043,1.3272,0.9034,1.38779,0.000537733,0.000537733,0.000537733
65,3162.16,0.91453,0.64367,1.06884,0.84181,0.94145,0.90513,0.54851,1.31325,0.90314,1.37246,0.000523586,0.000523586,0.000523586
66,3219.58,0.92561,0.62988,1.05517,0.83815,0.93481,0.90974,0.57088,1.31047,0.91175,1.36344,0.000509438,0.000509438,0.000509438
67,3279.64,0.8637,0.64767,1.03589,0.85348,0.93186,0.90464,0.57673,1.28623,0.92202,1.35591,0.000495291,0.000495291,0.000495291
68,3341.06,0.87134,0.63377,1.07064,0.86205,0.92099,0.89831,0.58106,1.28336,0.92718,1.36099,0.000481144,0.000481144,0.000481144
69,3378.37,0.82823,0.61113,1.04121,0.86817,0.92321,0.9038,0.57792,1.30736,0.9282,1.37061,0.000466997,0.000466997,0.000466997
70,3422.59,0.91459,0.63041,1.07746,0.85673,0.90535,0.90213,0.56834,1.30893,0.9302,1.36946,0.00045285,0.00045285,0.00045285
71,3467.44,0.84362,0.61431,1.02357,0.83489,0.90363,0.91056,0.57539,1.31678,0.93715,1.37903,0.000438703,0.000438703,0.000438703
72,3504.71,0.81194,0.60738,1.03343,0.8002,0.93094,0.91056,0.57919,1.32516,0.93159,1.38007,0.000424556,0.000424556,0.000424556
73,3546.91,0.8178,0.60664,1.04362,0.80703,0.91772,0.89802,0.5766,1.31136,0.89619,1.36792,0.000410409,0.000410409,0.000410409
74,3584.8,0.8422,0.58798,1.03809,0.82884,0.89228,0.90001,0.57129,1.29527,0.89146,1.36052,0.000396262,0.000396262,0.000396262
75,3629.88,0.82053,0.58889,1.02114,0.90241,0.83451,0.90667,0.56564,1.31759,0.87717,1.38211,0.000382115,0.000382115,0.000382115
76,3681.53,0.8422,0.60139,1.00222,0.87078,0.88754,0.91473,0.57543,1.31212,0.88015,1.38581,0.000367967,0.000367967,0.000367967
77,3741.67,0.84475,0.59313,1.01999,0.88845,0.85071,0.91393,0.57606,1.29844,0.8646,1.37802,0.00035382,0.00035382,0.00035382
78,3796.17,0.86335,0.61678,1.04502,0.85223,0.89009,0.90855,0.57932,1.29709,0.85406,1.38052,0.000339673,0.000339673,0.000339673
79,3833.11,0.85439,0.60618,1.03851,0.81681,0.94815,0.90429,0.57194,1.29822,0.86228,1.38684,0.000325526,0.000325526,0.000325526
80,3872.76,0.78597,0.58995,0.99387,0.87352,0.88754,0.90608,0.58987,1.27052,0.84511,1.37693,0.000311379,0.000311379,0.000311379
81,3919.69,0.77032,0.56311,1.0029,0.87602,0.88754,0.90719,0.58769,1.25862,0.81973,1.36812,0.000297232,0.000297232,0.000297232
82,3987.42,0.82683,0.58927,1.03182,0.92693,0.85531,0.91257,0.58994,1.26295,0.80491,1.36576,0.000283085,0.000283085,0.000283085
83,4022.56,0.82581,0.60835,1.02773,0.92927,0.88215,0.91498,0.57355,1.26517,0.80101,1.36121,0.000268938,0.000268938,0.000268938
84,4063.59,0.78448,0.60005,0.9957,0.96396,0.84829,0.91498,0.58897,1.25927,0.7986,1.35434,0.000254791,0.000254791,0.000254791
85,4096.29,0.79499,0.57965,1.00585,0.94291,0.87874,0.9171,0.59053,1.2687,0.80871,1.35929,0.000240644,0.000240644,0.000240644
86,4130.05,0.80932,0.601,1.02415,0.94246,0.88135,0.91408,0.58247,1.28534,0.82063,1.36942,0.000226497,0.000226497,0.000226497
87,4163.65,0.79879,0.55945,0.98903,0.92876,0.88754,0.91694,0.5783,1.30514,0.81788,1.37602,0.000212349,0.000212349,0.000212349
88,4197.73,0.79438,0.59638,1.0333,0.92172,0.88754,0.92117,0.5855,1.31868,0.81469,1.38136,0.000198202,0.000198202,0.000198202
89,4342.94,0.78945,0.57209,1.02117,0.89038,0.88754,0.91841,0.58793,1.31731,0.80751,1.375,0.000184055,0.000184055,0.000184055
90,4383.19,0.78302,0.58429,1.01616,0.88902,0.88754,0.91513,0.58479,1.31319,0.8054,1.36398,0.000169908,0.000169908,0.000169908
91,4417.62,0.76164,0.65649,0.98214,0.96096,0.82578,0.91329,0.58186,1.31141,0.81737,1.36062,0.000155761,0.000155761,0.000155761
92,4450.6,0.77583,0.66527,1.01671,0.91672,0.82694,0.9098,0.58509,1.3137,0.83307,1.35797,0.000141614,0.000141614,0.000141614
93,4491.97,0.75217,0.6202,0.99375,0.88191,0.82694,0.90365,0.57994,1.31814,0.84481,1.35938,0.000127467,0.000127467,0.000127467
94,4526.81,0.74974,0.65575,1.01573,0.84662,0.85502,0.90276,0.57316,1.31902,0.85186,1.35996,0.00011332,0.00011332,0.00011332
