epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3684,1.86925,3.71322,1.88412,0.00756,0.53611,0.08198,0.04593,1.56247,3.52127,1.69835,4.287e-05,4.287e-05,4.287e-05
2,86.7184,1.47838,3.37404,1.53745,0.00908,0.66704,0.28416,0.18426,1.36754,3.38949,1.40081,9.90397e-05,9.90397e-05,9.90397e-05
3,468.932,1.47505,2.88257,1.40746,0.00868,0.6137,0.31218,0.19205,1.47936,3.27878,1.38059,0.000154078,0.000154078,0.000154078
4,559.419,1.33851,2.14304,1.31496,0.93389,0.27778,0.40339,0.23059,1.4292,2.9193,1.36838,0.000207984,0.000207984,0.000207984
5,607.537,1.34204,1.69643,1.28108,0.93867,0.26389,0.42889,0.25989,1.35361,2.77488,1.29548,0.000260758,0.000260758,0.000260758
6,659.243,1.29439,1.52645,1.25793,0.97671,0.1851,0.49358,0.30375,1.3264,2.76423,1.2457,0.000312401,0.000312401,0.000312401
7,741.878,1.3319,1.49144,1.31398,1,0.09749,0.49043,0.31215,1.26201,2.88365,1.2122,0.000362912,0.000362912,0.000362912
8,800.636,1.25582,1.25878,1.22094,1,0.08055,0.516,0.33277,1.24257,2.80291,1.19724,0.000412291,0.000412291,0.000412291
9,850.364,1.22811,1.18025,1.21002,0.973,0.32097,0.55875,0.35866,1.29533,2.48266,1.24221,0.000460538,0.000460538,0.000460538
10,900.006,1.22286,1.12525,1.20847,0.97459,0.32488,0.56657,0.35708,1.28773,2.3151,1.26982,0.000507654,0.000507654,0.000507654
11,979.077,1.18965,1.15984,1.21313,0.97881,0.29167,0.59077,0.37041,1.28762,2.39152,1.33106,0.000553637,0.000553637,0.000553637
12,1034.45,1.19618,1.09935,1.16668,0.98464,0.28764,0.71439,0.42948,1.33013,2.42377,1.3641,0.000598489,0.000598489,0.000598489
13,1109.93,1.22595,1.11706,1.22577,0.9696,0.27688,0.75542,0.46575,1.37278,2.51381,1.42038,0.00064221,0.00064221,0.00064221
14,1183.21,1.20474,1.10643,1.2058,0.9492,0.27778,0.73954,0.44381,1.35984,2.52707,1.40032,0.000684798,0.000684798,0.000684798
15,1253.61,1.15325,1.00722,1.12826,0.96088,0.27778,0.7481,0.4278,1.40608,2.40324,1.42134,0.000726255,0.000726255,0.000726255
16,1315.75,1.13775,1.01218,1.21078,0.98092,0.35599,0.82736,0.45523,1.3809,2.23193,1.41183,0.00076658,0.00076658,0.00076658
17,1360.31,1.08978,0.93073,1.15265,0.92256,0.52669,0.77438,0.45226,1.36147,2.13572,1.40827,0.000805773,0.000805773,0.000805773
18,1395.01,1.13953,1.00176,1.19624,0.84117,0.52396,0.7543,0.46549,1.36155,2.07251,1.37906,0.000843835,0.000843835,0.000843835
19,1430.09,1.13644,0.99872,1.19178,0.7911,0.5007,0.74911,0.46423,1.39023,2.07664,1.4002,0.000880764,0.000880764,0.000880764
20,1466.82,1.16721,1.01795,1.18428,0.86885,0.53742,0.75904,0.48404,1.30231,1.87788,1.35507,0.000916562,0.000916562,0.000916562
21,1527,1.17006,0.97139,1.20062,0.85975,0.72989,0.77167,0.46919,1.35155,1.6144,1.37426,0.000951228,0.000951228,0.000951228
22,1666.09,1.10504,0.91381,1.14988,0.85677,0.70432,0.77684,0.45714,1.40655,1.46736,1.45183,0.000984762,0.000984762,0.000984762
23,1734.58,1.11085,0.92148,1.15501,0.65515,0.61764,0.75208,0.44422,1.43871,1.47153,1.51355,0.00101717,0.00101717,0.00101717
24,1780.3,1.12438,0.95884,1.18929,0.71003,0.63351,0.72318,0.43791,1.39176,1.50558,1.49038,0.00104844,0.00104844,0.00104844
25,1818.82,1.07584,0.92237,1.13912,0.77911,0.72499,0.7816,0.46208,1.32417,1.41708,1.43327,0.00107857,0.00107857,0.00107857
26,1872.9,1.0847,0.92848,1.14786,0.79841,0.74069,0.79142,0.48668,1.31863,1.30739,1.44243,0.00107532,0.00107532,0.00107532
27,1931.52,1.07286,0.8811,1.14535,0.84742,0.76744,0.82245,0.50315,1.33304,1.24529,1.45809,0.00106118,0.00106118,0.00106118
28,1972.14,1.00786,0.86028,1.12647,0.85354,0.80902,0.87531,0.50167,1.39379,1.23911,1.4524,0.00104703,0.00104703,0.00104703
29,2033.27,1.10524,0.89296,1.14196,0.79087,0.84544,0.84843,0.48761,1.38171,1.25017,1.48655,0.00103288,0.00103288,0.00103288
30,2104.67,1.03241,0.87099,1.13928,0.76272,0.79008,0.8121,0.48248,1.40387,1.29659,1.50823,0.00101873,0.00101873,0.00101873
31,2175.03,1.04371,0.84703,1.12739,0.73025,0.83803,0.78052,0.47065,1.37236,1.29521,1.42273,0.00100459,0.00100459,0.00100459
32,2243.5,1.0052,0.87218,1.09727,0.75226,0.80274,0.79211,0.49613,1.3634,1.21025,1.39808,0.00099044,0.00099044,0.00099044
33,2279.98,1.04666,0.83581,1.10398,0.73081,0.84226,0.79193,0.49494,1.32449,1.16201,1.3864,0.000976293,0.000976293,0.000976293
34,2319.99,1.00237,0.80231,1.08852,0.74369,0.76058,0.76001,0.46962,1.34273,1.16158,1.40198,0.000962146,0.000962146,0.000962146
35,2357.2,1.04307,0.83291,1.10364,0.74481,0.77411,0.7662,0.49636,1.31019,1.13862,1.36785,0.000947999,0.000947999,0.000947999
36,2394.6,1.0037,0.81129,1.10563,0.7981,0.75403,0.77922,0.50705,1.29832,1.07688,1.38067,0.000933851,0.000933851,0.000933851
37,2442.31,1.00751,0.78848,1.09573,0.78881,0.75981,0.80366,0.51106,1.33842,1.06994,1.41596,0.000919704,0.000919704,0.000919704
38,2483.74,0.99985,0.77904,1.10375,0.83905,0.83389,0.86893,0.50589,1.3513,1.04862,1.41973,0.000905557,0.000905557,0.000905557
39,2521.37,1.03259,0.80862,1.11667,0.84642,0.82721,0.85479,0.51655,1.33768,1.03835,1.39948,0.00089141,0.00089141,0.00089141
40,2568.81,1.05143,0.80746,1.11759,0.84592,0.81995,0.85022,0.52098,1.32113,1.0647,1.38561,0.000877263,0.000877263,0.000877263
41,2604.82,0.94862,0.80141,1.05731,0.91729,0.73473,0.84,0.5208,1.29852,1.04377,1.37489,0.000863116,0.000863116,0.000863116
42,2640.57,1.0126,0.79404,1.08097,0.87809,0.81818,0.84247,0.53917,1.30394,1.01442,1.37606,0.000848969,0.000848969,0.000848969
43,2676.18,0.91444,0.72075,1.05094,0.92208,0.77651,0.84806,0.53099,1.28993,0.9798,1.37632,0.000834822,0.000834822,0.000834822
44,2710.96,0.92987,0.76619,1.06934,0.93595,0.74319,0.83995,0.51909,1.28754,0.99171,1.39977,0.000820675,0.000820675,0.000820675
45,2748,0.99145,0.74275,1.10078,0.92264,0.72951,0.85262,0.52381,1.32311,1.01036,1.42984,0.000806528,0.000806528,0.000806528
46,2783.85,0.97495,0.82524,1.09396,0.89205,0.79088,0.86517,0.52384,1.33019,1.02785,1.43051,0.00079238,0.00079238,0.00079238
47,2819.26,0.92685,0.7531,1.094,0.88822,0.80797,0.87642,0.51897,1.36155,1.04016,1.4234,0.000778233,0.000778233,0.000778233
48,2854.14,0.98178,0.74611,1.1012,0.8923,0.82647,0.86921,0.53029,1.31966,0.99245,1.3988,0.000764086,0.000764086,0.000764086
49,2895.74,0.9315,0.72055,1.0797,0.91582,0.74296,0.85147,0.51453,1.31091,0.97227,1.39277,0.000749939,0.000749939,0.000749939
50,2930.94,0.97522,0.75523,1.12469,0.89052,0.74302,0.84159,0.50703,1.31873,0.97707,1.39737,0.000735792,0.000735792,0.000735792
51,2966.18,0.97821,0.73622,1.06479,0.85326,0.75587,0.84354,0.50904,1.30368,0.98043,1.38956,0.000721645,0.000721645,0.000721645
52,3001.57,0.91437,0.7091,1.0711,0.81105,0.81666,0.85389,0.52507,1.27617,0.94714,1.38915,0.000707498,0.000707498,0.000707498
53,3036.52,0.87591,0.72663,1.02764,0.78351,0.8455,0.86175,0.53937,1.28366,0.9479,1.40776,0.000693351,0.000693351,0.000693351
54,3083.56,0.95515,0.71159,1.07867,0.82217,0.84778,0.86471,0.5399,1.29676,0.93563,1.40317,0.000679204,0.000679204,0.000679204
55,3139.01,0.96516,0.71119,1.0933,0.8336,0.86544,0.86746,0.51785,1.33738,0.95377,1.39777,0.000665057,0.000665057,0.000665057
56,3174.6,0.97496,0.69373,1.05228,0.79939,0.86021,0.85754,0.52786,1.32445,0.94068,1.37767,0.000650909,0.000650909,0.000650909
57,3210.22,0.93253,0.71621,1.04939,0.7913,0.86024,0.84764,0.53775,1.2965,0.94016,1.36149,0.000636762,0.000636762,0.000636762
58,3244.87,0.90894,0.70404,1.03958,0.85732,0.83001,0.86141,0.53741,1.30744,0.96325,1.34758,0.000622615,0.000622615,0.000622615
59,3279.12,0.96275,0.7054,1.05319,0.84215,0.82364,0.84775,0.52744,1.34134,0.97361,1.35404,0.000608468,0.000608468,0.000608468
60,3313.79,0.88408,0.69429,1.04457,0.89702,0.79519,0.84283,0.51445,1.34847,0.97006,1.36379,0.000594321,0.000594321,0.000594321
61,3349.77,0.89974,0.66781,1.04706,0.89293,0.78888,0.81803,0.51244,1.30568,0.92784,1.3417,0.000580174,0.000580174,0.000580174
62,3388.51,0.90081,0.65777,1.03482,0.8953,0.78296,0.83303,0.53501,1.27344,0.88814,1.33469,0.000566027,0.000566027,0.000566027
63,3437.7,0.90042,0.65206,1.05351,0.89903,0.78296,0.84054,0.54016,1.26104,0.91025,1.33992,0.00055188,0.00055188,0.00055188
64,3487.64,0.86869,0.66495,1.03604,0.90443,0.80739,0.84431,0.55155,1.26691,0.90447,1.33421,0.000537733,0.000537733,0.000537733
