epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.263,1.70101,3.5167,1.66801,0.00955,0.65018,0.17553,0.09373,1.4996,3.50063,1.51208,0.0001625,0.0001625,0.0001625
2,230.416,1.4686,2.31022,1.40936,0.94105,0.35939,0.44878,0.26986,1.38434,2.75301,1.3848,0.000334159,0.000334159,0.000334159
3,354.658,1.45104,1.61265,1.42154,0.95023,0.43783,0.65192,0.37483,1.39276,2.44374,1.4719,0.000502353,0.000502353,0.000502353
4,512.144,1.42744,1.33801,1.3588,0.93304,0.40808,0.7906,0.46505,1.41943,2.17637,1.44014,0.000667081,0.000667081,0.000667081
5,624.319,1.38825,1.26773,1.34586,0.80849,0.53552,0.85887,0.51179,1.4365,1.89376,1.51366,0.000828345,0.000828345,0.000828345
6,736.925,1.35802,1.23973,1.30321,0.80128,0.83978,0.92863,0.54932,1.45614,1.50814,1.50741,0.000986144,0.000986144,0.000986144
7,847.16,1.35197,1.16404,1.3265,0.86356,0.83816,0.92971,0.56781,1.42604,1.5668,1.43401,0.00114048,0.00114048,0.00114048
8,971.67,1.31956,1.08512,1.28229,0.83727,0.79556,0.90235,0.52022,1.5084,1.49979,1.49482,0.00116337,0.00116337,0.00116337
9,1078.25,1.35822,1.10634,1.2932,0.87941,0.79649,0.90714,0.53948,1.44747,1.42307,1.4546,0.001151,0.001151,0.001151
10,1185.75,1.32677,1.05574,1.30157,0.89896,0.85772,0.92397,0.53836,1.42317,1.36837,1.43045,0.00113863,0.00113863,0.00113863
11,1302.41,1.27012,1.04208,1.26985,0.84641,0.89856,0.9207,0.54945,1.42652,1.22371,1.43288,0.00112625,0.00112625,0.00112625
12,1440.39,1.27178,1.00324,1.26175,0.87537,0.90609,0.93948,0.57029,1.41127,1.1496,1.42291,0.00111388,0.00111388,0.00111388
13,1557.02,1.2459,0.95446,1.24159,0.87181,0.90239,0.94465,0.55046,1.40915,1.13207,1.41297,0.0011015,0.0011015,0.0011015
14,1668.16,1.24043,0.96051,1.25792,0.92822,0.92276,0.94566,0.54914,1.39167,0.99056,1.41442,0.00108913,0.00108913,0.00108913
15,1778.61,1.23642,0.94041,1.24642,0.92012,0.91744,0.94347,0.56115,1.40214,0.99625,1.41046,0.00107675,0.00107675,0.00107675
16,1898.71,1.24332,0.90531,1.22959,0.90101,0.93556,0.94836,0.57408,1.37428,0.97817,1.36959,0.00106437,0.00106437,0.00106437
17,2004.53,1.21665,0.86301,1.21019,0.92244,0.90375,0.94984,0.58,1.36916,0.96669,1.37026,0.001052,0.001052,0.001052
18,2111.46,1.22476,0.87281,1.20434,0.91632,0.91171,0.94128,0.57514,1.32632,0.93899,1.33806,0.00103962,0.00103962,0.00103962
19,2228.61,1.19417,0.84701,1.19157,0.91848,0.93129,0.95362,0.58834,1.34985,0.92384,1.35558,0.00102725,0.00102725,0.00102725
20,2371.67,1.1778,0.83573,1.18829,0.90048,0.91732,0.93518,0.56515,1.38128,0.94744,1.3828,0.00101488,0.00101488,0.00101488
21,2480.61,1.18169,0.80969,1.20613,0.90457,0.93628,0.95157,0.58789,1.35586,0.88029,1.37392,0.0010025,0.0010025,0.0010025
22,2590.49,1.19024,0.80532,1.1858,0.92737,0.93944,0.96159,0.59196,1.36884,0.84462,1.36074,0.000990125,0.000990125,0.000990125
23,2701.92,1.18558,0.80181,1.19904,0.92876,0.92714,0.95471,0.60017,1.32353,0.81571,1.33664,0.00097775,0.00097775,0.00097775
24,2819.75,1.15012,0.77918,1.18146,0.94443,0.93146,0.96062,0.59674,1.31416,0.79558,1.32181,0.000965375,0.000965375,0.000965375
25,2926.73,1.08629,0.74001,1.15496,0.94413,0.94333,0.96863,0.60625,1.30536,0.77349,1.31314,0.000953,0.000953,0.000953
26,3038.83,1.14663,0.75623,1.18002,0.96873,0.91185,0.94995,0.59066,1.34929,0.82784,1.34669,0.000940625,0.000940625,0.000940625
27,3155,1.14679,0.77362,1.18269,0.95566,0.89754,0.94579,0.58245,1.37041,0.82604,1.39149,0.00092825,0.00092825,0.00092825
28,3308.08,1.13646,0.74807,1.17003,0.95925,0.89292,0.92825,0.57562,1.38304,0.83247,1.40027,0.000915875,0.000915875,0.000915875
29,3422.26,1.11147,0.73515,1.15767,0.96123,0.92649,0.94864,0.59114,1.3382,0.78879,1.36434,0.0009035,0.0009035,0.0009035
30,3534.09,1.13093,0.71557,1.16464,0.97051,0.91585,0.96161,0.58846,1.34791,0.78157,1.38453,0.000891125,0.000891125,0.000891125
31,3648.86,1.11379,0.71372,1.15492,0.96335,0.9179,0.96006,0.5915,1.32951,0.7512,1.35224,0.00087875,0.00087875,0.00087875
32,3766.99,1.11533,0.7179,1.16656,0.97006,0.86422,0.95834,0.57798,1.34042,1.0137,1.36696,0.000866375,0.000866375,0.000866375
33,3881.46,1.07688,0.68236,1.13628,0.93167,0.92373,0.95046,0.56559,1.3841,0.80404,1.39226,0.000854,0.000854,0.000854
34,4000.35,1.05515,0.6514,1.12857,0.97001,0.92014,0.94767,0.59353,1.34489,0.69844,1.37108,0.000841625,0.000841625,0.000841625
35,4111.89,1.0924,0.66232,1.14182,0.94938,0.93523,0.95783,0.59922,1.35631,0.75334,1.36947,0.00082925,0.00082925,0.00082925
36,4261.72,1.06548,0.67722,1.16954,0.9711,0.92097,0.95527,0.58678,1.3715,0.71007,1.36849,0.000816875,0.000816875,0.000816875
37,4370.86,1.06797,0.6839,1.13157,0.95266,0.94717,0.96437,0.5865,1.33916,0.69339,1.35681,0.0008045,0.0008045,0.0008045
38,4478.16,1.06642,0.6542,1.15022,0.94216,0.95562,0.96251,0.59266,1.32613,0.70264,1.35992,0.000792125,0.000792125,0.000792125
39,4601.25,1.06396,0.64985,1.13818,0.9655,0.9244,0.95337,0.59572,1.31012,0.66551,1.33253,0.00077975,0.00077975,0.00077975
40,4709.93,1.04343,0.66154,1.13597,0.93644,0.95494,0.97014,0.59846,1.32365,0.70279,1.34412,0.000767375,0.000767375,0.000767375
41,4818,1.02217,0.66128,1.11982,0.9517,0.93128,0.96399,0.60141,1.31593,0.71269,1.36912,0.000755,0.000755,0.000755
42,4936.8,1.04222,0.64256,1.11228,0.95249,0.94319,0.96399,0.59752,1.32917,0.68353,1.3763,0.000742625,0.000742625,0.000742625
43,5060.35,1.03868,0.65031,1.10978,0.94827,0.93042,0.96508,0.58434,1.32579,0.69396,1.37951,0.00073025,0.00073025,0.00073025
44,5197.92,1.0123,0.61746,1.11165,0.95222,0.92972,0.95873,0.60085,1.30529,0.67083,1.37003,0.000717875,0.000717875,0.000717875
45,5307.88,1.00317,0.60282,1.09533,0.95075,0.94704,0.96427,0.60038,1.30228,0.6518,1.37391,0.0007055,0.0007055,0.0007055
46,5419.87,0.99369,0.59861,1.11247,0.96718,0.9414,0.96876,0.60355,1.30608,0.65171,1.35493,0.000693125,0.000693125,0.000693125
47,5540.91,0.99393,0.59768,1.10818,0.97874,0.93116,0.96514,0.60564,1.29904,0.63289,1.34443,0.00068075,0.00068075,0.00068075
48,5648.65,0.98228,0.60147,1.10555,0.94265,0.93823,0.95599,0.60017,1.29646,0.66048,1.34883,0.000668375,0.000668375,0.000668375
49,5756.02,0.95608,0.59184,1.0824,0.94049,0.92809,0.9486,0.59386,1.31294,0.65355,1.35991,0.000656,0.000656,0.000656
50,5875.05,0.98172,0.59261,1.09416,0.95411,0.92133,0.95626,0.60085,1.29875,0.67002,1.37034,0.000643625,0.000643625,0.000643625
51,6016.63,0.99714,0.59577,1.1065,0.92118,0.95075,0.95553,0.60021,1.29804,0.62482,1.36964,0.00063125,0.00063125,0.00063125
52,6138.88,0.97843,0.58892,1.08835,0.95396,0.95263,0.95262,0.60578,1.28158,0.62159,1.34296,0.000618875,0.000618875,0.000618875
